symbol,companyName,sector,industry,exchange,ceo,description,website,mktCap,volAvg,beta,price
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers,New York Stock Exchange,Ian C. Read,"Pfizer Inc is a biopharmaceutical company that discovers, develops, manufactures, and markets healthcare products including medicines, and vaccines as well as many of the consumer healthcare products.",http://www.pfizer.com,2.08813162E11,32568946,0.649241,37.64
JD,JD.com Inc.,Technology,Online Media,Nasdaq Global Select,Qiangdong Richard Liu,JD.com Inc is an online direct sales company in China. It acquires products from suppliers and sells them directly to its customers through its website and mobile applications.,http://www.jd.com,6.07715E10,17771560,1.36172,41.38
TWTR,Twitter Inc.,Technology,Online Media,New York Stock Exchange,Jack Dorsey,"Twitter Inc is a social networking platform for public self-expression and conversation in real time. Its services are live, which includes live commentary, live connections, and live conversations. It generates a majority of its revenue from advertising.",https://www.twitter.com,2.18440704E10,25149795,0.559865,27.84
AVGO,Broadcom Limited,Technology,Semiconductors,Nasdaq Global Select,Hock E. Tan,"Broadcom Ltd is engaged in designing, developing and supplying analog and digital semiconductor connectivity solutions. Its product portfolio serves wired infrastructure, wireless communications, enterprise storage and industrial and other end markets.",http://www.broadcom.com,1.03825727E11,3652726,0.914839,259.7
AMAT,Applied Materials Inc.,Technology,Semiconductors,Nasdaq Global Select,Gary E. Dickerson,"Applied Materials Inc is a supplier of semiconductor manufacturing equipment. It provides manufacturing equipment, services and software to the semiconductor, flat panel display, solar photovoltaic and related industries.",http://www.appliedmaterials.com,4.3059323E10,10797223,1.653456,46.89
DWDP,DowDuPont Inc.,Basic Materials,Chemicals,New York Stock Exchange,Edward D. Breen,"DowDuPont Inc is jointly owned by Dow and DuPont for the purpose of forming publicly traded companies in the agriculture, materials science and specialty products sectors.",http://www.dow-dupont.com,70634327500.00,8708315,0.971702,30.51
ZNGA,Zynga Inc.,Technology,Application Software,Nasdaq Global Select,Frank Gibeau,"Zynga Inc is engaged in developing, marketing, and operating social games. Its games include FarmVille, Zynga Poker, and Words With Friends that are played on various platforms such as mobile, desktop, and social networking sites.",http://www.zynga.com,6.9293036E9,22096193,0.290893,7.25
XOM,Exxon Mobil Corporation,Energy,Oil & Gas - Integrated,New York Stock Exchange,Darren W. Woods,"Exxon Mobil Corp is an integrated oil and gas company. It is engaged in exploration for, and production of, crude oil and natural gas. It is also engaged in manufacturing, transportation and sale of crude oil, natural gas and petroleum products.",http://www.corporate.exxonmobil.com,1.82500753E11,39336125,1.000843,43.14
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,Nasdaq Global Select,Steven M. Mollenkopf,"Qualcomm Inc develops and licenses wireless technology. It also engages in designing chips for mobile phones. The company is also the world's largest wireless chip vendor, supplying many premier handset makers with leading-edge processors.",http://www.qualcomm.com,8.5089706E10,12191252,1.637436,75.64
VIPS,Vipshop Holdings Limited American Depositary Shares each representing two,Consumer Defensive,Retail - Defensive,New York Stock Exchange,Ya Eric Shen,"Vipshop Holdings Ltd is an online discount retailer for brands in China. The company offers branded products to consumers in China through flash sales on its vipshop.com, vip.com and lefeng.com websites.",http://www.vip.com,1.02207836E10,7337476,1.972175,15.2
CSCO,Cisco Systems Inc.,Technology,Communication Equipment,Nasdaq Global Select,Charles Robbins,"Cisco Systems Inc is a supplier of data networking equipment and software. Its products include routers, switches, access equipment, and security and network management software which allow data communication among dispersed computer networks.",http://www.cisco.com,1.73536805E11,32756398,1.204047,40.92
AXP,American Express Company,Financial Services,Credit Services,New York Stock Exchange,Stephen J. Squeri,"American Express Co is a payments, network and travel company. It provides charge and credit card products, travel services, network services, stored value products, loans, and other products and services to businesses and individuals.",http://www.americanexpress.com,7.1095132E10,7454553,1.042158,88.32
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers,New York Stock Exchange,Giovanni Caforio,"Bristol-Myers Squibb Co is engaged in discovery, development, licensing, manufacturing, marketing, distribution and sale of biopharmaceuticals products. The company operates in one segment that is Biopharmaceuticals.",http://www.bms.com,1.36335827E11,16304092,0.682124,60.26
V,Visa Inc.,Financial Services,Credit Services,New York Stock Exchange,Alfred F. Kelly,"Visa Inc is a payments technology company working to enable consumers, businesses, banks and governments to use fast, secure and reliable digital currency. The Company operates processing networks - VisaNet.",http://www.corporate.visa.com,3.89043814E11,14156330,0.934232,175.57
WP,Worldpay Inc. Class A,Industrials,Business Services,New York Stock Exchange,Philip Jansen / Charles D. Drucker,"Worldpay Inc is a payment processing company that provides integrated technology platform. It offers suite of payment processing services through a single provider, including e-commerce and mobile devices.",http://www.worldpay.com,36714324180.93,3271320,0.896607,124.37
KEY,KeyCorp,Financial Services,Banks,New York Stock Exchange,Beth E. Mooney,"KeyCorp is present in the financial service domain. Its core revenue is derived from the provision of retail and commercial banking, investment management and consumer finance services.",http://www.key.com,1.07967805E10,14261777,1.317032,11.07
RF,Regions Financial Corporation,Financial Services,Banks,New York Stock Exchange,O. B. Grayson Hall,"Regions Financial Corp is a regional bank headquartered in Alabama, with branches primarily in the southeastern and midwestern United States. It provides banking and bank-related services to individual and corporate customers.",http://www.regions.com,9.736575E9,15020690,1.573355,10.17
KR,Kroger Company (The),Consumer Defensive,Retail - Defensive,New York Stock Exchange,W. Rodney Mcmullen,"The Kroger Co operates grocery stores. Its coverage includes retail food and drug stores, multi-department stores, jewelry stores and convenience stores.",http://www.kroger.com,2.48614257E10,12863307,0.59865,31.96
HAL,Halliburton Company,Energy,Oil & Gas - Services,New York Stock Exchange,Jeffrey A. Miller,"Halliburton Co is a provider of services and products to the upstream oil and natural gas industry throughout the lifecycle of the reservoir, from locating hydrocarbons and managing geological data, to drilling and formation evaluation.",http://www.halliburton.com,8.5622339E9,30326407,1.505902,9.76
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Retail - Apparel & Specialty,New York Stock Exchange,Yong Daniel Zhang,"Alibaba Group Holding Ltd is an online and mobile commerce company. It operates China's most popular online marketplaces such as Taobao (C2C), Tmall (B2C), and Juhuasuan. It also engages in advertising, digital media, cloud computing, and other.",http://www.alibabagroup.com,5.23475976E11,17806500,2.250421,194.48
MRO,Marathon Oil Corporation,Energy,Oil & Gas - E&P,New York Stock Exchange,Lee M. Tillman,"Marathon Oil Corp is an exploration and production company. It focuses on producing crude oil and condensate, natural gas liquids and natural gas as well as bitumen from oil sands deposits.",http://www.marathonoil.com,4.3472988E9,41273322,2.314502,5.5
CLNS,Colony NorthStar Inc.,Real Estate,REITs,New York Stock Exchange,Richard B. Saltzman,"Colony NorthStar Inc is a real estate and investment management company. The company's property holdings include healthcare, industrial and hospitality sectors, equity and debt investments and an institutional and retail investment management business.",http://www.clns.com,3411303000.00,10673907,1.356758,6.41
GILD,Gilead Sciences Inc.,Healthcare,Biotechnology,Nasdaq Global Select,John F. Milligan,"Gilead Sciences Inc is a biopharmaceutical company that discovers, develops and commercializes new medicines in areas of unmet medical need. Its products target a number of areas, such as HIV, liver diseases, cardiovascular and other diseases.",http://www.gilead.com,1.00658651E11,25947419,1.13575,79.95
GM,General Motors Company,Consumer Cyclical,Autos,New York Stock Exchange,Mary Barra,"General Motors Company is an American multinational corporation. It designs, builds and sells cars, trucks and automobile parts. The company also provides automotive financing services through General Motors Financial Company, Inc.",https://www.gm.com,2.99367424E10,17748242,1.392074,20.9
FCX,Freeport-McMoRan Inc.,Basic Materials,Metals & Mining,New York Stock Exchange,Richard C. Adkerson,"Freeport-McMoRan Inc is a mining company. It operates large, long-lived geographically diverse assets with reserves of copper, gold, and molybdenum. It also has mining operations in the Americas.",http://www.fcx.com,1.22835825E10,30951580,2.477234,8.46
CRM,Salesforce.com Inc,Technology,Application Software,New York Stock Exchange,Marc Benioff,"Salesforce.com Inc is a software-as-a-service company that provides enterprise cloud computing solutions, offering social and mobile cloud apps and platform services, as well as professional services to facilitate the adoption of its solutions.",http://www.salesforce.com,1.39951145E11,7863452,1.214285,156.37
ATVI,Activision Blizzard Inc,Technology,Application Software,Nasdaq Global Select,Robert A. Kotick,"Activision Blizzard is a developer and publisher of interactive entertainment content and services. It develops and distributes content and services on video game consoles, personal computers, and mobile devices.",http://www.activisionblizzard.com,4.9858286E10,8778050,0.822934,64.72
SQ,Square Inc. Class A,Technology,Application Software,New York Stock Exchange,Jack Dorsey,Square Inc is a software company offering solutions ranging from payments and point-of-sale services to financial and marketing services. It offers a free software app with its hardware to turn mobile devices into powerful POS solutions in minutes.,https://www.squareup.com,2.76753326E10,15522092,3.362147,63.0
P,Pandora Media Inc.,Consumer Cyclical,Entertainment,New York Stock Exchange,Roger J. Lynch,"Pandora Media Inc is a broadcasting company which offers music streaming and automated music recommendation services. The service is available in the United States, Australia, and New Zealand.",http://www.pandora.com,2274282910,12609590,0.023608,8.4
TWX,Time Warner Inc.,Consumer Cyclical,Entertainment,New York Stock Exchange,Jeffrey L. Bewkes,"Time Warner Inc is an entertainment company. It owns television networks, which include networks such as HBO, CNN, TNT, and the CW. The firm mainly creates and distributes movies and television programming for internal and external distribution outlets.",http://www.timewarner.com,78237810000.00,4848309,0.887957,98.91
NUE,Nucor Corporation,Basic Materials,Steel,New York Stock Exchange,John J. Ferriola,Nucor Corp and its affiliates are engaged in the manufacturing of steel and steel products. It also produces direct reduced iron for use in the steel mills. The company is involved in every phase of the steelmaking.,http://www.nucor.com,1.23465349E10,3209050,1.656829,41.0
LOW,Lowe's Companies Inc.,Consumer Cyclical,Retail - Apparel & Specialty,New York Stock Exchange,,"Lowe's Companies Inc is a home-improvement products dealer. The firm's stores offer products and services for home decorating, maintenance, repair, and remodeling.",http://www.lowes.com,7.8861967E10,6758955,1.272344,104.46
RAD,Rite Aid Corporation,Consumer Defensive,Retail - Defensive,New York Stock Exchange,John T. Standley,"Rite Aid Corp operates retail drugstore chains in the United States. The business activity of the group is functioned through two segments namely Retail Pharmacy and Pharmacy Services. It operates more than 4,500 stores in 31 states across the country.",http://www.riteaid.com,7.4507667E8,5999315,1.731028,13.62
APC,Anadarko Petroleum Corporation,Energy,Oil & Gas - E&P,New York Stock Exchange,R.A. Walker,Anadarko Petroleum Corp is engaged in the exploration and production of oil and natural gas. Its asset base includes conventional and unconventional properties in the U.S. and deep-water oil and gas projects in the Gulf of Mexico and Africa.,http://www.anadarko.com,35239680000.00,5319945,1.670042,69.92
ESV,Ensco plc Class A,Energy,Oil & Gas - Drilling,New York Stock Exchange,Carl Trowell,"Ensco PLC provides offshore contract drilling services to national and international oil companies as well as independent operators. It operates its business in U.S. Gulf of Mexico, Mexico, Brazil, the Mediterranean, and the North Sea.",http://www.enscoplc.com,800371875.00,13171972,2.192154,7.38
SLB,Schlumberger N.V.,Energy,Oil & Gas - Services,New York Stock Exchange,Paal Kibsgaard,"Schlumberger Ltd is a supplier of products and services to the oil and gas industry. It provides technology for reservoir characterization, drilling, production, and processing to the oil and gas industry.",http://www.slb.com,2.18580091E10,21857152,1.578414,15.75
FLEX,Flex Ltd.,Technology,Computer Hardware,Nasdaq Global Select,,"Flex Ltd is a provider of Sketch-to-Scale services. It provides designing, manufacturing and supply chain services of packaged consumer electronics and industrial products to various industries and end-markets.",https://www.flex.com,4.5359278E9,5682961,1.833052,9.0
FOXA,Twenty-First Century Fox Inc.,Consumer Cyclical,Entertainment,Nasdaq Global Select,James R. Murdoch,"Twenty-First Century Fox Inc is a diversified media and entertainment company. It operates in various business segments namely Cable Network Programming, Television, Filmed Entertainment, and Direct Broadcast Satellite Television.",http://www.21cf.com,1.53519135E10,5102533,0,25.43
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers,New York Stock Exchange,Richard A. Gonzalez,"AbbVie Inc is a biopharmaceutical company that discovers, develops, manufactures and sells a range of pharmaceutical products for treating chronic autoimmune diseases, virology and neurological disorders.",http://www.abbvie.com,1.22327335E11,12545217,0.952782,82.84
GIS,General Mills Inc.,Consumer Defensive,Consumer Packaged Goods,New York Stock Exchange,Jeffrey L. Harmening,"General Mills Inc is a global manufacturer and marketer of branded consumer foods, such as ready-to-eat breakfast cereals, refrigerated dough and other baking items, snack foods, ice cream, and yogurt.",http://www.generalmills.com,3.6113764E10,5561306,0.70236,59.58
VZ,Verizon Communications Inc.,Communication Services,Communication Services,New York Stock Exchange,Lowell C. McAdam,"Verizon Communications Inc is a provider of communications, information and entertainment products and services to consumers, businesses and governmental agencies. It offers voice, data and video services and solutions to wireless and wireline networks.",http://www.verizon.com,2.35162534E11,22187685,0.484822,56.83
XRX,Xerox Corporation,Technology,Application Software,New York Stock Exchange,,"Xerox Corp provides printing equipment and supplies. The company is engaged in the designing, development, and sale of document management systems and solutions. It generates its revenue from the sale of equipment.",http://www.xerox.com,3.62451226E9,3239709,1.794266,17.03
CVLT,Commvault Systems Inc.,Technology,Application Software,Nasdaq Global Select,,"CommVault Systems Inc is a provider of data and information management software applications and related services. It develops, markets and sells software applications and services in North America, Europe, Australia and Asia.",http://www.commvault.com,1.93254349E9,790939,1.140809,41.47
X,United States Steel Corporation,Basic Materials,Steel,New York Stock Exchange,David B. Burritt,"United States Steel Corp is an integrated steel producer. Its products include flat-rolled and tubular products with production operations in North America and Europe. Its products cater to automotive, construction and energy companies.",http://www.ussteel.com,1.27855501E9,17346311,3.091905,7.51
MAT,Mattel Inc.,Consumer Cyclical,Travel & Leisure,Nasdaq Global Select,Mary Margaret Hastings Georgiadis,"Mattel Inc designs, manufactures, and markets a variety of toy products through sales to its customers and directly to consumers. The products include fashion dolls, infant and preschool products, toy cars, and electrical vehicles, among others.",http://www.mattel.com,2.87753549E9,6379611,1.658516,8.295
CTL,CenturyLink Inc.,Communication Services,Communication Services,New York Stock Exchange,Glen F. Post,"CenturyLink Inc operates as a telecommunications company in the United States. It provides broadband, voice and wireless services to consumers and businesses across the country.",http://www.centurylink.com,1.11656438E10,13147274,0.932546,10.17
DVN,Devon Energy Corporation,Energy,Oil & Gas - E&P,New York Stock Exchange,David A. Hager,"Devon Energy Corp is engaged in the oil & gas sector. It is an independent energy company involved in the exploration, development and production of oil, natural gas and NGLs.",http://www.devonenergy.com,4.26758451E9,12017434,2.386172,11.15
IBN,ICICI Bank Limited,Financial Services,Banks,New York Stock Exchange,Chanda D. Kochhar,"ICICI Bank Ltd is a banking company. It is engaged in providing banking and financial services including retail banking, corporate banking, and treasury operations through its branches located across India.",http://www.icicibank.com,3.13440195E10,10589150,0.73233,9.36
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas - Refining & Marketing,New York Stock Exchange,Gary R. Heminger,"Marathon Petroleum Corp is engaged in the oil & gas sector. The company is engaged in refining, marketing, retail and transportation of petroleum products in the United States.",http://www.marathonpetroleum.com,1.90060298E10,11529573,1.688026,29.24
PM,Philip Morris International Inc,Consumer Defensive,Tobacco Products,New York Stock Exchange,Andre Calantzopoulos,Philip Morris International Inc is a holding company. It manufactures and sells cigarettes and other tobacco products in markets outside the United States of America.,http://www.pmi.com,1.14106483E11,7033200,1.025295,73.28
MSCI,MSCI Inc,Financial Services,Brokers & Exchanges,New York Stock Exchange,Henry A. Fernandez,"MSCI Inc is an independent provider of research-driven insights and tools for institutional investors. It offers content, applications and services to support the needs of institutional investors throughout their investment processes.",http://www.msci.com,2.67789783E10,847271,1.149241,319.94
RDN,Radian Group Inc.,Financial Services,Insurance - Property & Casualty,New York Stock Exchange,Richard G Thornberry,Radian Group Inc provides mortgage insurance and products and services to the real estate and mortgage finance industries. It operates with two business segments namely Mortgage Insurance and Services.,http://www.radian.biz,2.77301453E9,2396800,1.369308,13.96
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,New York Stock Exchange,James Robert Quincey,"Coca-Cola Co is nonalcoholic beverage company which manufactures a variety of carbonated and noncarbonated brands, including Coca-Cola, Diet Coke, Fanta, Sprite, Minute Maid, Powerade, and Dasani.",http://www.coca-colacompany.com,1.9584698E11,21405500,0.413153,45.6
AABA,Altaba Inc.,Financial Services,Asset Management,Nasdaq Global Select,Thomas J. Mcinerney,"Altaba Inc is an independent, non-diversified, closed-end management investment company. The Fund's objective is to seek to increase the price per share at which it trades relative to then-current values of its principal underlying assets, and others.",http://www.altaba.com,1.01980006E10,0,1.756993,19.63
SRC,Spirit Realty Capital Inc.,Real Estate,REITs,New York Stock Exchange,Jackson Hsieh,"Spirit Realty Capital Inc is a self-administered & self-managed REIT. It invests in single-tenant, operationally essential real estate leased on a long-term, triple-net basis to tenants operating within retail, office & industrial property types.",http://www.spiritrealty.com,2.98120013E9,1320871,0.414839,28.96
NFX,Newfield Exploration Company,Energy,Oil & Gas - E&P,New York Stock Exchange,Lee K. Boothby,"Newfield Exploration Co is an exploration and production company. It explores, develops and produces crude oil, natural gas and natural gas liquids. Its areas of operation include basins of Oklahoma and North Dakota and uinta basin of Utah.",http://www.newfield.com,3406000000.00,4963363,1.789293,17.03
COP,ConocoPhillips,Energy,Oil & Gas - E&P,New York Stock Exchange,Ryan M. Lance,ConocoPhillips operates in the oil & gas sector. Its primary business involves exploration and production of crude oil and natural gas.,http://www.conocophillips.com,4.2148303E10,11960233,1.091905,39.14
CHK,Chesapeake Energy Corporation,Energy,Oil & Gas - E&P,New York Stock Exchange,Robert D. Lawler,"Chesapeake Energy Corp is a natural gas and oil exploration, development, acquisition and production company. It also owns an oil and natural gas marketing business. Its portfolio includes unconventional oil and natural gas assets in U.S. onshore plays.",http://www.chk.com,1.4656432E8,4270326,2.45907,14.98
DIS,The Walt Disney Company,Consumer Cyclical,Entertainment,New York Stock Exchange,Robert A. Iger,"Walt Disney Co together with its subsidiaries is a diversified worldwide entertainment company with operations in four business segments: Media Networks, Parks and Resorts, Studio Entertainment, and Consumer Products & Interactive Media.",http://www.disney.com,1.90473912E11,20721690,1.024451,105.5
LEN,Lennar Corporation Class A,Consumer Cyclical,Homebuilding & Construction,New York Stock Exchange,Stuart A. Miller,"Lennar Corp is a homebuilding service provider. Its operations include the construction and sale of single-family attached and detached homes, and to a lesser extent multi-level residential buildings.",http://www.lennar.com,1.50004265E10,4138180,1.052276,49.46
CVX,Chevron Corporation,Energy,Oil & Gas - Integrated,New York Stock Exchange,John S. Watson,"Chevron Corp engages in the exploration, production, and refining operations worldwide. Its oil refineries are spread across the United States, South Africa, and Asia with an approximate capacity of 2 million barrels of oil a day.",http://www.chevron.com,1.66982697E11,15089728,1.021922,89.44
PYPL,PayPal Holdings Inc.,Financial Services,Credit Services,Nasdaq Global Select,Daniel H. Schulman,"PayPal Holdings Inc is a technology platform company that enables digital and mobile payments on behalf of consumers and merchants. The company's payments platform includes PayPal, PayPal Credit, Venmo, Xoom and Braintree products.",https://www.paypal.com,1.41462258E11,10044463,0.954947,120.61
CTRP,Ctrip.com International Ltd.,Consumer Cyclical,Travel & Leisure,Nasdaq Global Select,Jane Jie Sun,"Ctrip.com International Ltd provides travel related services. Its areas of interest include reservation, transportation ticketing, packaged-tour, corporate travel management services, as well as Internet-related advertising.",http://www.ctrip.com,369198073.71,5229438,1.546975,35.97
WMT,Walmart Inc.,Consumer Defensive,Retail - Defensive,New York Stock Exchange,C. Douglas McMillon,"Wal-Mart Stores Inc operates retail stores in various formats under various banners. Its operations comprise of three reportable business segments, Walmart U.S., Walmart International and Sam's Club in three categories retail, wholesale and others.",http://www.walmart.com,3.48318401E11,10618469,0.376897,122.92
MRK,Merck & Company Inc. (new),Healthcare,Drug Manufacturers,New York Stock Exchange,Kenneth C. Frazier,"Merck & Co Inc is a health care company that delivers health solutions through its prescription medicines, vaccines, biologic therapies and animal health products.",http://www.merck.com,1.96123738E11,14401534,0.526138,77.67
MDLZ,Mondelez International Inc.,Consumer Defensive,Consumer Packaged Goods,Nasdaq Global Select,Dirk Van de Put,"Mondelez International Inc is associated with the confectionery industry. It manufactures and markets snack food and beverage products like biscuits, chocolate, gum and candy, and beverages.The sale of biscuits generate maximum revenue for the company.",http://www.mondelezinternational.com,7.2372224E10,9547952,0.753794,50.7
RSPP,RSP Permian Inc.,Energy,Oil & Gas - Drilling,New York Stock Exchange,Steven Gray,"RSP Permian Inc produces oil and natural gas. It engaged in acquisition, exploration, development and production of unconventional oil and associated liquids-rich natural gas reserves in the Permian Basin of West Texas.",http://www.rsppermian.com,7477080000.00,2756986,1.626206,47.93
GG,Goldcorp Inc.,Basic Materials,Metals & Mining,New York Stock Exchange,David Garofalo,"Goldcorp Inc is gold mining company. It is engaged in the operation, exploration, development, and acquisition of precious metal properties in Canada, the United States, Mexico, and Central and South America.",http://www.goldcorp.com,9700975000.00,7820262,0.259949,11.22
MGM,MGM Resorts International,Consumer Cyclical,Travel & Leisure,New York Stock Exchange,James Joseph Murren,"MGM Resorts International owns and operates casino, hotel and entertainment resorts. The company offers its services through its properties in Las Vegas include Bellagio, MGM Grand, Mandalay Bay, Mirage, Luxor, and New York-New York.",http://www.mgmresorts.com,7.3952922E9,24811646,1.516863,15.01
GFI,Gold Fields Limited American Depositary Shares,Basic Materials,Metals & Mining,New York Stock Exchange,Nicholas Holland,"Gold Fields Ltd is engaged in underground and surface gold and copper mining and related activities, including exploration, development, extraction, processing and smelting. It operates in South Africa, Australia, Ghana, and Peru.",http://www.goldfields.co.za,7.1043707E9,9806107,-0.058145,7.75
